iter	Passed	Remaining
443	1295	1622
444	1297	1618
445	1299	1614
446	1301	1610
447	1303	1606
448	1306	1603
449	1308	1599
450	1312	1598
451	1317	1597
452	1320	1593
453	1322	1590
454	1324	1586
455	1327	1583
456	1329	1579
457	1333	1578
458	1336	1574
459	1341	1574
460	1343	1570
461	1345	1566
462	1348	1563
463	1354	1565
464	1356	1561
465	1358	1556
466	1365	1559
467	1367	1554
468	1369	1550
469	1374	1550
470	1376	1546
471	1378	1542
472	1380	1538
473	1383	1535
474	1388	1535
475	1390	1530
476	1392	1527
477	1406	1535
478	1412	1536
479	1414	1532
480	1416	1528
481	1418	1524
482	1421	1521
483	1423	1517
484	1425	1513
485	1427	1509
486	1434	1511
487	1436	1507
488	1438	1503
489	1444	1503
490	1446	1499
491	1448	1495
492	1450	1491
493	1452	1487
494	1454	1483
495	1456	1480
496	1458	1476
497	1460	1472
498	1464	1470
499	1466	1466
500	1468	1462
501	1470	1458
502	1472	1454
503	1477	1454
504	1480	1450
505	1482	1447
506	1484	1443
507	1485	1439
508	1487	1435
509	1489	1431
510	1491	1427
511	1493	1423
512	1495	1420
513	1503	1421
514	1505	1418
515	1508	1414
516	1510	1411
517	1512	1407
518	1514	1403
519	1515	1399
520	1518	1395
521	1523	1395
522	1525	1391
523	1527	1387
524	1529	1383
525	1531	1380
526	1533	1376
527	1535	1372
528	1537	1369
529	1539	1365
530	1541	1361
531	1548	1362
532	1550	1358
533	1554	1356
534	1556	1352
535	1557	1348
536	1559	1344
537	1562	1341
538	1564	1337
539	1566	1334
540	1571	1332
541	1573	1329
542	1574	1325
543	1576	1321
544	1578	1317
545	1580	1314
546	1582	1310
547	1588	1310
548	1590	1306
549	1592	1303
550	1594	1299
551	1596	1295
552	1598	1292
553	1600	1288
554	1605	1287
555	1614	1289
556	1616	1285
557	1618	1282
558	1620	1278
559	1622	1274
560	1625	1271
561	1627	1268
562	1629	1264
563	1638	1266
564	1641	1263
565	1643	1260
566	1645	1256
567	1649	1254
568	1665	1261
569	1668	1258
570	1673	1256
571	1683	1259
572	1685	1256
573	1687	1252
574	1710	1264
575	1716	1263
576	1717	1259
577	1719	1255
578	1720	1251
579	1722	1247
580	1724	1243
581	1726	1239
582	1728	1236
583	1729	1232
584	1731	1228
585	1732	1223
586	1734	1220
587	1735	1216
588	1737	1212
589	1738	1208
590	1740	1204
591	1741	1200
592	1742	1196
593	1744	1192
594	1745	1188
595	1746	1184
596	1748	1180
597	1750	1176
598	1756	1175
599	1757	1171
600	1759	1168
601	1760	1164
602	1762	1160
603	1763	1156
604	1764	1152
605	1766	1148
606	1767	1144
607	1769	1140
608	1770	1136
609	1771	1132
610	1773	1129
611	1778	1127
612	1780	1124
613	1782	1120
614	1784	1117
615	1786	1113
616	1788	1109
617	1791	1107
618	1793	1103
619	1795	1100
620	1797	1096
621	1799	1093
622	1801	1090
623	1803	1086
624	1805	1083
625	1806	1079
626	1808	1075
627	1809	1072
628	1811	1068
629	1812	1064
630	1814	1060
631	1820	1060
632	1822	1056
633	1823	1052
634	1825	1049
635	1826	1045
636	1827	1041
637	1829	1037
638	1831	1034
639	1832	1031
640	1834	1027
641	1836	1023
642	1837	1020
643	1842	1018
644	1844	1014
645	1849	1013
646	1851	1010
647	1853	1006
648	1855	1003
649	1856	999
650	1858	996
651	1860	992
652	1864	990
653	1866	987
654	1868	984
655	1870	980
656	1872	977
657	1875	974
658	1876	971
659	1878	967
660	1879	963
661	1881	960
662	1882	956
663	1889	955
664	1891	952
665	1893	949
666	1895	946
667	1897	943
668	1899	939
669	1900	936
670	1902	932
671	1903	929
672	1904	925
673	1906	922
674	1911	920
675	1913	917
676	1915	913
677	1916	910
678	1918	906
679	1919	903
680	1921	899
681	1922	896
682	1923	892
683	1925	889
684	1926	885
685	1927	882
686	1928	878
687	1933	876
688	1935	873
689	1937	870
690	1939	867
691	1940	863
692	1942	860
693	1943	857
694	1945	853
695	1946	850
696	1948	846
697	1949	843
698	1950	840
699	1954	837
700	1956	834
701	1958	831
702	1959	827
703	1960	824
704	1962	821
705	1963	817
706	1965	814
707	1968	811
708	1969	808
709	1970	804
710	1971	801
711	1973	798
712	1978	796
713	1979	793
714	1981	789
715	1982	786
716	1983	783
717	1985	779
718	1986	776
719	1988	773
720	1989	769
721	1990	766
722	1992	763
723	1993	759
724	1994	756
725	1995	753
726	2000	751
727	2001	747
728	2003	744
729	2004	741
730	2005	738
731	2007	734
732	2008	731
733	2009	728
734	2011	725
735	2012	721
736	2013	718
737	2015	715
738	2016	712
739	2017	708
740	2018	705
741	2022	703
742	2024	700
743	2025	696
744	2026	693
745	2028	690
746	2030	687
747	2031	684
748	2032	681
749	2034	678
750	2035	674
751	2037	671
752	2038	668
753	2040	665
754	2041	662
755	2046	660
756	2047	657
757	2048	654
758	2050	651
759	2051	647
760	2053	645
761	2055	642
762	2058	639
763	2059	636
764	2062	633
765	2064	630
766	2070	628
767	2072	626
768	2074	623
769	2076	620
770	2079	617
771	2080	614
772	2082	611
773	2083	608
774	2085	605
775	2086	602
776	2091	600
777	2094	597
778	2095	594
779	2096	591
780	2098	588
781	2099	585
782	2101	582
783	2102	579
784	2104	576
785	2105	573
786	2107	570
787	2108	567
788	2110	564
789	2114	562
790	2116	559
791	2117	556
792	2119	553
793	2120	550
794	2122	547
795	2123	544
796	2125	541
797	2126	538
798	2127	535
799	2129	532
800	2131	529
801	2135	527
802	2136	524
803	2138	521
804	2139	518
805	2141	515
806	2142	512
807	2144	509
808	2145	506
809	2147	503
810	2149	500
811	2150	497
812	2151	494
813	2153	492
814	2154	489
815	2160	487
816	2161	484
817	2163	481
818	2164	478
819	2166	475
820	2168	472
821	2169	469
822	2170	466
823	2172	463
824	2173	461
825	2174	458
826	2176	455
827	2177	452
828	2182	450
829	2184	447
830	2185	444
831	2186	441
832	2187	438
833	2189	435
834	2190	432
835	2191	430
836	2193	427
837	2194	424
838	2195	421
839	2197	418
840	2198	415
841	2200	412
842	2203	410
843	2205	407
844	2206	404
845	2208	401
846	2209	399
847	2210	396
848	2211	393
849	2213	390
850	2214	387
851	2215	384
852	2217	382
853	2218	379
854	2219	376
855	2221	373
856	2224	371
857	2226	368
858	2227	365
859	2228	362
860	2230	360
861	2231	357
862	2232	354
863	2233	351
864	2235	348
865	2236	346
866	2238	343
867	2239	340
868	2240	337
869	2241	335
870	2243	332
871	2245	329
872	2247	326
873	2248	324
874	2250	321
875	2251	318
876	2253	315
877	2254	313
878	2256	310
879	2257	307
880	2258	305
881	2260	302
882	2261	299
883	2263	296
884	2264	294
885	2272	292
886	2274	289
887	2275	287
888	2276	284
889	2278	281
890	2280	278
891	2281	276
892	2283	273
893	2284	270
894	2285	268
895	2287	265
896	2291	263
897	2293	260
898	2295	257
899	2296	255
900	2298	252
901	2299	249
902	2300	247
903	2302	244
904	2303	241
905	2305	239
906	2306	236
907	2308	233
908	2309	231
909	2313	228
910	2314	226
911	2316	223
912	2317	220
913	2319	218
914	2320	215
915	2322	212
916	2324	210
917	2325	207
918	2327	205
919	2328	202
920	2330	199
921	2331	197
922	2337	194
923	2338	192
924	2340	189
925	2341	187
926	2343	184
927	2344	181
928	2346	179
929	2347	176
930	2349	174
931	2350	171
932	2352	168
933	2353	166
934	2354	163
935	2361	161
936	2363	158
937	2365	156
938	2366	153
939	2369	151
940	2371	148
941	2372	146
942	2374	143
943	2376	140
944	2378	138
945	2381	135
946	2383	133
947	2387	130
948	2389	128
949	2390	125
950	2392	123
951	2393	120
952	2395	118
953	2396	115
954	2398	112
955	2400	110
956	2402	107
957	2403	105
958	2405	102
959	2406	100
960	2407	97
961	2409	95
962	2410	92
963	2411	90
964	2413	87
965	2414	84
966	2415	82
967	2416	79
968	2418	77
969	2419	74
970	2420	72
971	2426	69
972	2427	67
973	2429	64
974	2430	62
975	2432	59
976	2433	57
977	2434	54
978	2436	52
979	2437	49
980	2438	47
981	2440	44
982	2441	42
983	2442	39
984	2444	37
985	2446	34
986	2447	32
987	2449	29
988	2450	27
989	2452	24
990	2453	22
991	2455	19
992	2456	17
993	2457	14
994	2459	12
995	2460	9
996	2461	7
997	2463	4
998	2467	2
999	2468	0
